ticker,date,price,volume,beta,rho,buy_signal,bb_dist
1203.TW,2026-09-15,42.650001525878906,22,1.22671233801617,0.5902222533316308,False,-0.01834030767663819
1235.TW,2026-09-15,36.900001525878906,11,1.3422425668754658,0.6310456383712292,False,0.6571653780035547
1503.TW,2026-09-15,195.0,837,1.2527991680017971,0.5991929409272937,False,-2.6778210089559877
1568.TW,2026-09-15,28.799999237060547,105,1.0205061810237013,0.5706982437306665,False,0.27674451919183696
1617.TW,2026-09-15,17.600000381469727,202,1.4717374452662213,0.5268813288885307,False,0.41015114402985375
1735.TW,2026-09-15,19.299999237060547,73,1.283560990898508,0.7022676025112566,False,-0.4257620100110735
1802.TW,2026-09-15,56.0,9977,1.299746402460421,0.7181100559276151,False,-1.1540597782594944
1809.TW,2026-09-15,36.0,777,1.3279951573090418,0.640470073589299,False,-0.9836201773697582
2316.TW,2026-09-15,155.0,1021,1.9300544527757195,0.8308542936451794,False,0.7064661103292735
2317.TW,2026-09-15,246.5,15737,1.0795989034297997,0.7826720699890676,False,1.8889211498780298
2327.TW,2026-09-15,537.0,22512,2.653005797549551,0.6427394246908373,False,4.643223548206038
2337.TW,2026-09-15,114.5,16766,1.187036122859441,0.5021979180610536,False,-3.4669186194796993
2342.TW,2026-09-15,38.400001525878906,5421,1.2956556933937593,0.521161933548257,False,0.009155086604287987
2363.TW,2026-09-15,50.29999923706055,2098,1.1105577402875881,0.6926569961113885,False,-0.007930343142724894
2404.TW,2026-09-15,1035.0,965,1.5607467716771974,0.671575067893662,False,5.282876870914379
2441.TW,2026-09-15,115.0,6092,1.4629459471527773,0.6998610393241133,False,4.033128185625614
2493.TW,2026-09-15,171.0,519,1.3311369324065792,0.5567925112263259,False,-1.9169388197907722
2524.TW,2026-09-15,33.29999923706055,89,1.118770021553411,0.7485083112959459,False,-0.7259814237830895
3013.TW,2026-09-15,81.5,632,1.1340915463974124,0.5002907694334984,False,0.8390930434005242
3035.TW,2026-09-15,170.0,1294,1.2122204641072327,0.5183307914734151,False,-0.1633775003115545
3138.TW,2026-09-15,86.5,117,1.0569085934863716,0.5564612301059,False,-3.0822788179669374
3416.TW,2026-09-15,160.0,106,1.1289207948273976,0.5231326187499953,False,-1.0283992724095867
3481.TW,2026-09-15,46.79999923706055,77000,1.2862407197598584,0.5585403077912019,False,0.7066919341349944
3533.TW,2026-09-15,1520.0,745,1.2707627570378233,0.5276099498702966,False,-46.77111263503366
3535.TW,2026-09-15,81.0999984741211,303,1.582401520255671,0.7546713518942635,False,-2.8511524856525483
3563.TW,2026-09-15,643.0,236,1.4261968720514377,0.7092599950363442,False,-13.127537369353718
3711.TW,2026-09-15,592.0,13376,1.7979873062425482,0.6745255970704035,False,11.068611145575687
4551.TW,2026-09-15,153.5,267,1.5764991591716395,0.5064354499897123,False,-1.5851639415095917
4906.TW,2026-09-15,35.099998474121094,2566,2.033877440437932,0.7476988094901302,False,0.6200515488378571
4919.TW,2026-09-15,111.0,2291,1.874196231830664,0.7171248704133992,False,-2.572476800025271
4960.TW,2026-09-15,19.5,1908,1.1650897447230226,0.5977300785327105,False,-0.5722700348049194
5234.TW,2026-09-15,282.5,147,1.3401090077757773,0.770319008248324,False,-5.463538902035168
6139.TW,2026-09-15,713.0,2052,1.5592764942627135,0.7352402658230177,True,-2.5380680037301317
6155.TW,2026-09-15,55.599998474121094,556,1.5894242164094272,0.6485590009428156,False,0.5010310687765838
6202.TW,2026-09-15,53.70000076293945,698,1.2129688062152477,0.6262736166368776,False,-1.6942630536000962
6239.TW,2026-09-15,268.0,7950,1.5591502485367499,0.695466508725014,False,0.257421476693537
6257.TW,2026-09-15,207.5,2784,1.7898131915084352,0.6592492876468726,False,7.7660661934510244
6285.TW,2026-09-15,222.0,2422,1.3122024061883004,0.6639125320658485,False,-4.142355617426318
6438.TW,2026-09-15,142.5,160,1.1221714780154262,0.6039398372543341,False,-0.2561215932999801
8028.TW,2026-09-15,226.5,3335,1.8522680927775508,0.6918371366182462,False,-3.0445627721868505
8131.TW,2026-09-15,57.5,1421,1.0012045832430594,0.5758662248982738,False,-2.447535733916837
8150.TW,2026-09-15,84.4000015258789,11552,1.6065390238514372,0.7943667082222606,False,-2.0973950674116963
8482.TW,2026-09-15,47.29999923706055,1,1.6696895123783964,0.74651989328112,False,0.34481034368801744
2258.TW,2026-09-15,30.049999237060547,287,1.0327226748544795,0.6388299332085207,False,-0.3281137994839902
3169.TWO,2026-09-15,100.0,77,1.5289290428393851,0.5867548364536268,False,1.7653830565511157
3178.TWO,2026-09-15,59.5,45,1.1662028620105773,0.521967390860225,False,0.6747007165196379
3221.TWO,2026-09-15,46.29999923706055,1193,1.9402768294918853,0.6519806569486237,False,-0.31915157145903095
3289.TWO,2026-09-15,129.5,373,1.3988936435773691,0.6822427951698772,False,-3.5694838128937363
3691.TWO,2026-09-15,94.0999984741211,142,1.8068839958265617,0.6665922096590577,False,-1.0687986745802505
3707.TWO,2026-09-15,58.900001525878906,4093,1.0331577698046333,0.523918963364504,False,-0.9768547950458597
4749.TWO,2026-09-15,705.0,254,1.539180997970791,0.7413642269956904,False,-25.783000582509885
4760.TWO,2026-09-15,257.0,361,1.0822956176999947,0.5158014675816999,False,8.868505526968818
4768.TWO,2026-09-15,292.5,237,1.7031538632764893,0.5151890632084495,False,-0.5380550947941174
5227.TWO,2026-09-15,29.100000381469727,173,1.3599737602814532,0.5011637933289427,False,-0.4848411749971362
5228.TWO,2026-09-15,38.79999923706055,152,1.664078433083056,0.6162464156747862,False,-0.8120056566000784
5347.TWO,2026-09-15,153.0,8807,1.4214077389580022,0.6626730666954351,False,4.167576657344995
5536.TWO,2026-09-15,837.0,407,1.717535750171058,0.7848820003395942,False,1.9907368054940662
6127.TWO,2026-09-15,46.75,2070,1.8506338866649201,0.5830511940908969,False,-0.4936770990455983
6163.TWO,2026-09-15,39.75,1560,1.3188399820323953,0.5794377461122275,False,0.1454062276149699
6175.TWO,2026-09-15,69.0,345,1.0913658564716469,0.5544537519593317,False,-0.5947439682078937
6182.TWO,2026-09-15,105.5,40584,2.2031762219857938,0.5946093324661132,False,0.6052593161716118
6190.TWO,2026-09-15,66.0,608,1.2524137897064245,0.6661081779910216,False,0.7394579496346125
6234.TWO,2026-09-15,33.5,139,1.352562573814795,0.6361152901817122,True,-0.391448148282322
6259.TWO,2026-09-15,27.799999237060547,89,1.4465776433185376,0.5402519802013651,False,-0.6561099378764794
6261.TWO,2026-09-15,75.5,392,1.1387265945632277,0.6071569615407281,False,0.7228282873364833
6284.TWO,2026-09-15,75.0,574,1.4668457136025939,0.5610189325878119,False,-0.40395323113661163
6292.TWO,2026-09-15,64.0999984741211,319,1.102231620785931,0.5840155412573012,False,3.4773432376967577
6485.TWO,2026-09-15,58.5,113,1.0512467512719061,0.5141256262006919,False,-0.7275408611102421
6613.TWO,2026-09-15,255.0,179,1.2871153555826838,0.6041676916815263,False,4.763425078125351
6642.TWO,2026-09-15,75.0999984741211,52,1.3012930684387376,0.5238980790072181,False,-0.7900388665192111
6643.TWO,2026-09-15,410.0,205,1.5000385293262155,0.5188591837362615,False,6.12165066124129
6725.TWO,2026-09-15,207.0,37,1.5061462047538456,0.6733044162972097,False,-7.449824684601197
6877.TWO,2026-09-15,108.0,50,1.6320703394881861,0.5876692986063091,False,-2.8997368506543495
6903.TWO,2026-09-15,290.5,114,1.1119199627401193,0.6792570553592479,False,-8.172900332340248
6953.TWO,2026-09-15,224.5,32,1.596444122003606,0.6256315591095191,False,-1.757984122331635
8043.TWO,2026-09-15,128.5,1489,1.834175136385608,0.5845360830955088,False,-4.593111794259187
8054.TWO,2026-09-15,80.5,515,1.040225251223844,0.599198419082833,False,0.5264304556981898
8121.TWO,2026-09-15,26.049999237060547,196,1.0936472423951196,0.6217885757125823,False,-0.5710059410698527
8182.TWO,2026-09-15,37.95000076293945,472,1.1688365181535807,0.5809082686797928,False,-0.07109490752274183
8299.TWO,2026-09-15,1920.0,2143,1.1644004336732137,0.53386429960113,False,-52.482201661394356
